"country","year","product_count","avg_kcal_100g","avg_sugars_100g","avg_salt_100g","avg_fat_100g","avg_proteins_100g","ultra_processed_percentage"
"Argentina","2013","3","520.33","34.57","0.28","32.97","12.87","66.67"
"Argentina","2014","3","144.77","31.05","0.21","4.2","4.4","66.67"
"Argentina","2015","3","309.56","18.95","0.92","13.35","8.85","66.67"
"Argentina","2016","8","384.57","14.4","0.4","51.28","6.78","42.86"
"Argentina","2017","14","250.21","22.97","1.31","13.31","5.1","63.64"
"Argentina","2018","46","259.18","20.4","14.7","12.98","8.63","51.61"
"Argentina","2019","64","308.44","19.93","1.24","15.89","7.64","74.14"
"Argentina","2020","47","311.77","22.09","0.99","20.61","9.24","64.1"
"Argentina","2021","51","284.17","21.43","0.65","14.08","6.55","78.57"
"Argentina","2022","33","299.37","17.71","1.12","14.91","8.77","60"
"Argentina","2023","50","359.42","16.72","3.25","22.82","12.74","79.31"
"Argentina","2024","114","313.38","19.63","13.38","14.61","8.88","70.59"
"Argentina","2025","89","331.31","13.82","11.39","18.62","10.23","70.21"
"Argentina","2026","2","383.15","19.87","41.55","13.11","21.8",""
"Australia","2012","13","412.59","20.92","0.51","21.83","8.67","41.67"
"Australia","2013","16","381.56","13.7","1.04","25.85","8.4","53.33"
"Australia","2014","27","217.59","15.02","1.26","12.98","5.07","61.54"
"Australia","2015","88","288.63","18.43","2.52","18.28","6.13","65.48"
"Australia","2016","65","323.82","21.39","2.33","19.68","7.65","60.66"
"Australia","2017","118","288.08","14.18","1.39","15.89","9.24","54.72"
"Australia","2018","147","325.31","15.38","2.54","18.91","8.87","65.41"
"Australia","2019","98","285.12","14.8","5.17","18.01","6.65","59.26"
"Australia","2020","98","6644.6","8.26","1.03","18.67","8.14","59.34"
"Australia","2021","88","295.09","7.82","0.61","21.1","9.49","61.97"
"Australia","2022","58","277.5","13.88","1.05","11.84","15.09","61.36"
"Australia","2023","31","391.93","13.25","36.96","18.05","9.87","75.86"
"Australia","2024","51","624.92","12.31","0.55","13.13","6.86","64.29"
"Australia","2025","10","387.95","19.74","1.1","22.33","7.34","87.5"
"Austria","2012","25","292.29","15.01","0.39","17.26","10.09","56"
"Austria","2013","34","325.93","23.22","0.68","18.37","7.54","64.71"
"Austria","2014","44","319.63","15.59","3.6","15.78","7.09","54.76"
"Austria","2015","79","331.01","20.69","1.39","19.37","7.03","74.36"
"Austria","2016","91","309.03","16.64","0.87","17.58","6.48","48.86"
"Austria","2017","118","339.82","19.16","0.83","18.52","7.36","61.74"
"Austria","2018","114","298.04","16.34","1.08","15.81","7.77","66.35"
"Austria","2019","100","303.96","12.44","1.06","18.81","8.47","54.74"
