"code","energy_kcal_100g","sugars_100g","fat_100g","salt_100g","proteins_100g","nutriscore_grade","nutriscore_score","nova_group"
"8994963003876","458.823529411765","5.88235294117647","21.1764705882353","2.67647058823529","9.41176470588235","unknown",,"4"
"5201024782018","476","3.7","21","0.9","7.3","c","7","3"
"7038010067631","362","2.5","17","0.94","40","not-applicable",,"4"
"7790310920398","126",,"7.1","0.225","1.5","b","2","4"
"50157709","112","24.8","0.1","1.7","1.4","d","14","3"
"4056489480693","203","1.3","10.6","0.7575","24","a","-1",
"8854761002047","36",,"1.3",,"0.23","unknown",,
"6221295004519","48",,"2.36363636363636",,"1.09090909090909","unknown",,
"8801005152235","76","3",,"16","10","unknown",,"4"
"3046920022699","605.6405352774","0.5","54",,"13","unknown",,
"3161712996108","292","0.4","24","1.4","20","d","12",
"0037600293525","606.25","9.375","50","1.171875","23.75","c","8","4"
"6111184001661","1","0.15",,,,"not-applicable",,"2"
"6223001878520","50",,"2",,"3.5","unknown",,
"5900020004697","382","8.8","1.4","1.3075","7.4","c","10","4"
"8410376047509","401","0.6","11","0.78","7.4","c","3","4"
"90280184","19","4.4","0.1","0.01","0.1","c","4","4"
"8715300303349","110","0.0116","0.004","0.28","0.0069","unknown",,
"0013409451328","194.444444444444","47.2222222222222",,"2.01388888888889",,"e","25","4"
"6281057012237","58","4.7","3","0.125","3.1","unknown",,
"4791085293291","388.325",,"6.3","0.5775","16.475","unknown",,
"7311870010987","678","0.4","75","1.77","0.4","e","24","2"
"3147690061007","207",,,,,"not-applicable",,"3"
"8412600028131","273","2.9","3.8","1","11","a","-2","4"
"6009208004104","220","25","30","0.26","7","e","22","4"
"9310023136657","235.775928892563","2.2972972972973","3.10810810810811","0.945945945945946","9.45945945945946","a","-1","4"
"0051500241912","593.75","9.09090909090909","48.4848484848485","1.06060606060606","21.2121212121212","c","9","4"
"4002671157751","87","1.5","3.2","0.84","12.3","b","2",
"3272770015516","225","1.1","19","0.0025","4.6","b","1","4"
"6224010439283","313.333333333333",,"25.3333333333333","0.000833333333333333","6.66666666666667","unknown",,
"5391528040292","504","0.6","26.2","1.56","6.1","d","15","3"
"5011157888118","122.4","1.04","2.48","0.416","2.08","c","3","4"
"7805000322472","307","3","30","0.001875","0.6","c","6",
"4770179994733","564","27","42","0.015","9.1","e","23",
"3168930170549","13","3",,"0.03",,"d","7","4"
"3038354199603","329","3.5","31","2.8","3.8","e","21","4"
"4056489883623","9","0.5","0.5","1.0825","0.5","unknown",,"4"
"0804642002459","400","5.71428571428571","10","0.892857142857143","68.5714285714286","not-applicable",,"4"
"3560070420148","434","2.5","11","1.7","11","d","14","3"
"8480000551085","421","1.4","34","3.7","27.5","e","33","4"
"7500478005581","456.666666666667","8.66666666666667","19.3333333333333","3.09166666666667","6.66666666666667","e","26","4"
"4061464647763","202","1.9","4.2","0.00155","6.5","a",,"4"
"8480000223135","62","4.1","3.4","0.1","3.7","b","2","3"
"7025110151131","64","4.8","3.5","0.1","3.3","c","3","1"
"7896214532702","250","55",,"0.025",,"d","17","3"
"7622202225253","244","8.2","11","1.3775","9.9","d","13",
"7801620006624","5","0.9",,"0.0375",,"c","5","4"
"7791337007949","14.5",,"1.2","0.44","0.5","c","3","4"
"29308132","441","27.2000007629395","16.7999992370605",,"10.3999996185303","unknown",,"4"
"7394376620683","59","3.4","2.8","0.1","1.1","a",,"3"
"3497911123350","525","2","31","1.4","6","d","12","4"
"4779039352690","57","4.1","2.5",,"4.3","unknown",,
"7896066304595","260","1","7.6","0.95","15.8","a","-3","4"
"8711000684733","397.260273972603","39.041095890411","11.6438356164384","1.25","15.7534246575342","unknown",,"4"
"6954767415772","43.02","10.6",,"0.03048",,"e","12","4"
"7700304573622","13",,"1.3","102.5","0.4","e","21",
"3330720237361","552","55","33","0.13","8.6","e","23","4"
"3228023910039","369","0.5","29","0.6","27","c","9",
"3560070701407","524","49","30","0.51","7.6","e","27","4"
"0051000142931","77.1","0.832916666666667","4.38","1.005","3.33","c","4","4"
"9348219003186","394.35946","2.6","17","0.015","16","a","-5","4"
"8480000057105","89","0.8","1.2","1.875","19.6","c","3","4"
"6009522310301","576.800509788","7.33333333333333","45.3333333333333",,"30","b","-5",
"0884912004710","344.827586206897","8.62","2.59","1.1638","10.34","c","7","3"
"7035620048883","900",,"100",,,"unknown",,
"4901777300545","30",,"0.75","0.13","0.75","unknown",,"4"
"0805627332721","560","30.4","46.4","0.03","5.6","unknown",,
"7038010054747","51","9","0.1","0.009","3.3","c","4","4"
"4820006011147","345","2.5","5.8","0.002","11.9","a","-3",
"7311310038397","130","2.3","9.9",,"2.5","b","1","4"
"0811620022927","44.1176470588235","0.588235294117647","0.735294117647059","0.169117647058824","8.82352941176471","not-applicable",,"4"
"8719200267763","207","0.5","23","0.1975","0.2","c","4","2"
"7702728231324","515","22.8","22.8","1.14","8.58","e","27","3"
"8402001026379","490","3.3","24.9","2.5575","9","d","18","4"
"9317444000161","313.097514340344","0.5","25","1.025","7","c","6","3"
"7622300992798","454.588910133843","22.8","15.6","0.22","7.8","c","8",
"8000550502803","386","75.1","3.6","0.00103","5.1","unknown",,"4"
"8711327666481","289","24","17","0.36","4.1","e","20","4"
"6408430142286","97","4.6","6","0.06","5.6","c","3","1"
"5201057011413","527","59","28","0.335","8.5","e","32",
"7501032300043","84.3","7","1.9","0.09475","5.6","b","2","4"
"5900020024046","410","24.9","9.3","0.85","5.8","d","12","4"
"8996001314005","200","11","9","0.095","3","c","9","4"
"8721800400389","352",,"27.5","0.86","26","d","11",
"6111243590433","57",,"3",,"3","b","-2","1"
"5601312101161","212","0.5","13","0.41","23","a",,"3"
"5060088704783","386","45.3","15.1","0.1","9.4","d","14","3"
"7793940054006","740",,"82","0.35",,"e","20","2"
"8001505005103","157","37",,"0.13",,"c","5","4"
"8402001039263","414.285714285714","1.9","8.4","1.6","6.7","d","11","4"
"4066447646283","828","0.5","92","0.01","0.5","e","20",
"8904004403732","476",,"20.93","0.975","21.31","b","1","3"
"7340083469602","26","0.9",,,"1.5","a","-5","1"
"8101802088943","10","1",,"1","20","a","-8",
"4025700001023","550.898203592814","50.8982035928144","34.1317365269461","0.000598802395209581","7.18562874251497","e","30","4"
"8993175535250","466.666666666667","33.3333333333333","16.6666666666667","0.433333333333333","6.66666666666667","e","22","4"
"20724733","170","23","6.1","1.79","2.7","d","15","4"
"8594001561384","457","19","16","0.17","8.1","d","13","4"
"4770299400572","61","3.70000004768372","3.20000004768372",,"3.20000004768372","unknown",,
"5900020035714","382","8.8","1.4","1.2775","7.4","unknown",,"4"
"3259011799893","225","1.9","9","0.975","8.8","c","3","4"
"8719132831179","120","3.5","10","0.2","4.5","c","8","1"
"7798183771918","357","34","21","0.1975","4.8","e","22","4"
"9300605139640","389.237913138486","19.7142857142857","7.14285714285714","0.0285714285714286","10","b","2","4"
"8711000302040","165.39","1","1","210","16","unknown",,"4"
"7801620005191","24","4.2",,"0.5",,"c","3","4"
"7702001124763","145.977011494253","17.2413793103448","4.02298850574713","0.189655172413793","3.39080459770115","e","15","4"
"5707653000856","326","56","3.5",,"2","c","8","4"
"6001001825146","58.32","3.9","3.1",,"3.6","c","3","1"
"7340011460923","613","6","49","0.67","19","c","8","3"
"5391526416044","246.666666666667","3.9","2.3","0.94","8.9","c","4","4"
"4820174301606","233","7.40000009536743","1.79999995231628",,"7.30000019073486","unknown",,
"8901262070676","520.25202520252","43.024302430243","33.1233123312331","0.094959495949595","6.40864086408641","e","28","4"
"8594071469573","384","0.699999988079071","2.59999990463257",,"8","unknown",,
"0059749894784","700",,"80","0.2","1","d","18","2"
"7034280009494","267","2.8","27.2",,"1.2","unknown",,
"4607121295337","403",,"15",,"5","unknown",,"4"
"8480000198600","309",,,,,"c","3","4"
"5900242003089","631","1.9","68","1","1.9","d","16","3"
"4870200149931","510",,"27.33333",,"0.01438095","unknown",,"4"
"3560071257194","59","7.7","1.3","0.08",,"e","11","3"
"8593894813297","535","36","31","0.255","6.9","e","27","4"
"5060337500258","50",,"4.4","0.2",,"c","4","4"
"5712876486080","39","9.1",,,,"c","5",
"90492501","30.59","6.1",,"65",,"unknown",,"4"
