"code","product_name","brands","main_category","created_year"
"8994963003876","Indomie Mi Goreng Fried Noodles","Indomie, อินโดหมี่","plant based foods and beverages","2024"
"5201024782018","ολικής με θαλασσινό αλάτι","Lay's","plant based foods and beverages","2021"
"7038010067631","YT Proteinbar Salt Karamell","YT","dietary supplements","2021"
"7790310920398","Rueditas","PEP","snacks","2025"
"50157709","Organic Tomato Ketchup","Heinz","plant based foods and beverages","2014"
"4056489480693","Jalapeno fusions tuna","Nixe","seafood","2024"
"8854761002047","น้ำมะพร้าวผสมน้ำนม","チャバ","Unknown","2025"
"6221295004519","Dark Chocolate Granola","Breadfast","Unknown","2024"
"8801005152235","Sauce Soja Sempio 501 500ML","Sempio","condiments","2018"
"3046920022699","Lindt Excellence Quinoa, Flax And Pumpkin Seeds DarkChocolate","Lindt","Unknown","2024"
"3161712996108","Petit Camembert Ile De France X 125G","Ile De France, Savencia","dairies","2019"
"0037600293525","Peanut butter","Skippy","plant based foods and beverages","2022"
"6111184001661","Star vinaigre de table BLANC","Star","condiments","2016"
"6223001878520","Almarai","","Unknown","2024"
"5900020004697","Nestle Corn Flakes","Nestlé","plant based foods and beverages","2019"
"8410376047509","Tostada sin azúcares añadidos","Gullón","snacks","2018"
"90280184","Kombucha - Boisson gazeuse à la tisane","Carpe Diem","beverages and beverages preparations","2017"
"8715300303349","Γαλα εβαπορε light","Piesto","Unknown","2018"
"0013409451328","Barbecue Sauce","Sweet Baby Ray's","condiments","2017"
"6281057012237","لين نادك صغير","Nadec","Unknown","2023"
"4791085293291","Hot Chocolate","Anchor","Unknown","2024"
"7311870010987","Bregott Extrasaltat","Bregott","plant based foods and beverages","2024"
"3147690061007","Poliakov","Poliakov","beverages and beverages preparations","2014"
"8412600028131","Hogaza Masa Madre y Cereales","The Rustik Bakery","plant based foods and beverages","2018"
"6009208004104","Sponge Crunch Chocolate","Oishi","snacks","2025"
"9310023136657","Wholemeal","Wonder","plant based foods and beverages","2020"
"0051500241912","CREAMY PEANUT BUTTER","Jif","plant based foods and beverages","2018"
"4002671157751","Hüttenkäse Original","Gervais","dairies","2021"
"3272770015516","Tartare végétal ail & fines herbes","Savencia, Tartare","plant based foods and beverages","2021"
"6224010439283","Vegan Chocolate Spread","Healthy Spread","Unknown","2025"
"5391528040292","Blanco niño chili and lime","Blanco Niño","snacks","2021"
"5011157888118","Tomato & Basil Basmati Rice","Tilda","plant based foods and beverages","2015"
"7805000322472","Mayonesa","Hellmann's","condiments","2023"
"4770179994733","Juodas sokoladas 72%","Pergale, เพอร์เกเล่","snacks","2023"
"3168930170549","Ice tea","Lipton","beverages and beverages preparations","2023"
"3038354199603","Panzani sauce pesto basilic 200g","Panzani","plant based foods and beverages","2012"
"4056489883623","Chicken Stock Cubes","NEWGATE","dried products","2024"
"0804642002459","Whey Protein","leanfit","dietary supplements","2022"
"3560070420148","Gressins À l'huile d'olive vierge extra 10g","Carrefour BIO, Carrefour","plant based foods and beverages","2012"
"8480000551085","Fuet Espetec","Hacendado","meats and their products","2016"
"7500478005581","Galletas Gamesa Pan Crema","Gamesa","snacks","2022"
"4061464647763","Mushroom Tortelloni","Cucina","plant based foods and beverages","2024"
"8480000223135","Yogur natural","Hacendado","dairies","2021"
"7025110151131","Økologisk Helmelk 3,5% fett fra Rørosmeieriet","Änglamark","dairies","2021"
"7896214532702","GELEIA FRUTAS VERMELHAS 320G QUEENSBERRY","QUEENSBERRY","plant based foods and beverages","2023"
"7622202225253","dairylea","ritz","dairies","2024"
"7801620006624","agua con jugo natural de fruta natural SIN GAS","+mas","beverages and beverages preparations","2021"
"7791337007949","Leche De Almendras Vainilla Sin Azúcar","Silk","beverages and beverages preparations","2025"
"29308132","Granola","Marks & Spencers","Unknown","2023"
"7394376620683","Oat Drink 2.8%","Oatly","plant based foods and beverages","2024"
"3497911123350","Chips Pizza 125G Bret's","Brets","plant based foods and beverages","2017"
"4779039352690","Natūralus kefyras 2,5% riebumo","","Unknown","2021"
"7896066304595","Pão Grão Sabor 18 grãos","Wickbold","plant based foods and beverages","2022"
"8711000684733","Boisson Latte Gourmande Premium","L'or","beverages and beverages preparations","2024"
"6954767415772","可口可乐","可口可乐","beverages and beverages preparations","2018"
"7700304573622","Bebidas de Almendras Sin Azúcar Añadida","Natri","beverages and beverages preparations","2022"
"3330720237361","Pâte à tartiner noisette du Lot et Garonne cacao","Lucien Georgelin","breakfasts","2017"
"3228023910039","Emmental Cœur de Meule","Président","dairies","2013"
"3560070701407","Fleur de sel noir","Selection","snacks","2013"
"0051000142931","CREAMY CHICKEN & DUMPLINGS","Campbell's CHUNKY","canned foods","2018"
"9348219003186","Protein Granola Clusters Choc Almond","Red Tractor","plant based foods and beverages","2021"
"8480000057105","Pechuga de Pavo Cocida 92%","Hacendado","meats and their products","2023"
"6009522310301","No Added Sugar Smooth Peanut Butter","Black Cat","plant based foods and beverages","2025"
"0884912004710","grape-nuts cereal","Post","plant based foods and beverages","2015"
"7035620048883","Rapsolje 1l Eldorado","Unil as","plant based foods and beverages","2021"
"4901777300545","クラフトボス ラテ 500mlペット","Suntory","beverages and beverages preparations","2022"
"0805627332721","70% Dark Chocolate Bar","Loom","Unknown","2025"
"7038010054747","Biola Bringebær","Biola","beverages and beverages preparations","2021"
"4820006011147","Крупа вівсяна плющена","Сквирянка","plant based foods and beverages","2023"
"7311310038397","Dip Nacho Cheese Style","Santa Maria","condiments","2018"
"0811620022927","Lait frappé nutritif au chocolat","fairlife","beverages and beverages preparations","2021"
"8719200267763","Pro-Activ Light","Becel","plant based foods and beverages","2024"
"7702728231324","Cafecitas - Galletas con café","cafe Quindío","snacks","2019"
"8402001026379","Cocktail rodeo","Hacendado","fried foods","2024"
"9317444000161","TRADITIONAL HOMMUS","Yumi's","plant based foods and beverages","2018"
"7622300992798","honey, hazelnuts & dark chocolate chips breakfast biscuits","belVita","snacks","2024"
"8000550502803","Nesquik Plus 250G","Nestlé","beverages and beverages preparations","2017"
"8711327666481","Brookieees & Cream","Ben & Jerry's","desserts","2025"
"6408430142286","Keittön Kreikkalainen Jogurtti","Valio","dairies","2024"
"5201057011413","Σοκολάτα Γάλακτος","Lacta Milk Chocolate","snacks","2018"
"7501032300043","Danone griego endulzado","Danone","dairies","2023"
"5900020024046","Cini Minis","Nestlé","plant based foods and beverages","2021"
"8996001314005","roma kelapa cream coklat","roma","snacks","2024"
"8721800400389","Original","Leerdammer","dairies","2022"
"6111243590433","Lait","","dairies","2019"
"5601312101161","Sardinha Enlatada em Azeite","Continente","seafood","2025"
"5060088704783","Cocoa delight","Nakd","snacks","2017"
"7793940054006","Manteca","La Serenísima","dairies","2019"
"8001505005103","Fiordi di frutta","Rigoni di Asiago","plant based foods and beverages","2016"
"8402001039263","Tortitas Milho Campestre","Hacendado","plant based foods and beverages","2025"
"4066447646283","Kokosöl","dmBio","plant based foods and beverages","2023"
"8904004403732","Haldiram moong dal","Haldiram","plant based foods and beverages","2021"
"7340083469602","Krossade Tomater i Tomatjuice","Garant","plant based foods and beverages","2019"
"8101802088943","dasani","دساني","ar:صوت التكة  امان","2020"
"4025700001023","Milka chocolate Hazelnuts","Milka","snacks","2013"
"8993175535250","Nabati Bites Cheese Cream Wafer","Nabati","snacks","2019"
"20724733","Curly Fries","Harvest Basket","plant based foods and beverages","2019"
"8594001561384","Zapékané Musli s medem a ořechy","bonavita","plant based foods and beverages","2017"
"4770299400572","Kefyras 3,2%","Zemaitijos","beverages and beverages preparations","2023"
"5900020035714","Go Free Corn Flakes 375g","NESTLÉ NORGE AS","Unknown","2022"
"3259011799893","Galettes Boulgour & Sarrasin à l'Emmental","Céréal BIO","meat alternatives","2013"
"8719132831179","yoghurt Griekse stijl","De Zaanse Hoeve","dairies","2021"
"7798183771918","Bocaditos de framuesas con doble chocolate","Grido","snacks","2025"
"9300605139640","Classic Variety Quick Sachets","Uncle Tobys","plant based foods and beverages","2021"
"8711000302040","Caramel Coffee","Moccona","beverages and beverages preparations","2016"
"7801620005191","Gatorade Cool Blue","Gatorade","Bebidas","2020"
"7702001124763","Bon Yurt Piazza","Alpina","beverages and beverages preparations","2020"
"5707653000856","Frugt stang","Castus","snacks","2021"
"6001001825146","Full cream milk long life","Crystal Valley","dairies","2021"
"7340011460923","Salte cashewnøtter","Coop","plant based foods and beverages","2023"
"5391526416044","Sourdough Wholemeal","Gallaghers Bakehouse","plant based foods and beverages","2021"
"4820174301606","Rye bread","Kulinich","Unknown","2022"
"8901262070676","Dark Chocolate","Amul","snacks","2018"
"8594071469573","Galette céréales","Carrefour BIO","plant based foods and beverages","2024"
"0059749894784","Beurre salé","Selection","dairies","2017"
"7034280009494","Pizza Dressing","Peppes Pizza","Unknown","2024"
"4607121295337","Печенье овсяное с сиропом топинамбура и экстрактом стевии","Magi’s grain","snacks","2024"
"8480000198600","Sirope de agave","Hacendado","sweeteners","2020"
"5900242003089","Mayonnaise Kielecki","Kielecki, Społem Kielce","condiments","2019"
"4870200149931","Вафли с арахисом","","snacks","2024"
"3560071257194","ÉPEAUTRE BIO Sans sucres ajoutés**","Carrefour BIO, Carrefour","beverages and beverages preparations","2020"
"8593894813297","Tatranky","Opavia","snacks","2017"
"5060337500258","Monster energy ultra","Monster Energy Company","beverages and beverages preparations","2019"
"5712876486080","Multi Frugtdrik","Kingsway","beverages and beverages preparations","2025"
"90492501","Powerade Naartjie","Coca Cola","Unknown","2021"
"8850025060105","Almond Milk Drink Unsweetened","UFC Velvet","beverages and beverages preparations","2019"
"7896030518751","Requeijão Cremoso Light Tirolez Copo 200g","TIROLEZ","dairies","2023"
"8480000230102","Passas Sultanas","Hacendado","plant based foods and beverages","2021"
"7072130010580","Mors hjemmebakte gjær original","Idun industri as dagligvare","food additives","2017"
"4902102154826","Ayataka","Coca-Cola Company","beverages and beverages preparations","2024"
"5050974000822","Thins Multi-Seed Flatbreads","Ryvita","plant based foods and beverages","2017"
"5601989003126","Herdade Do Esporão Extra Virgem","HERDADE DO ESPORÃO","plant based foods and beverages","2018"
"0016000442825","Sweet & Salty Nut Peanut Chewy Granola Bar","Nature Valley","plant based foods and beverages","2015"
"5013665108801","Crunchy Peanut Butter","Whole earth","plant based foods and beverages","2016"
"8480000602367","Fibra sticks","Hacendado","plant based foods and beverages","2022"
"8859799400025","MK Suki Sauce","MK Restaurants","Unknown","2024"
"5740900805408","BLENDED SPREAD 75%","LURPAK","dairies","2014"
"8480000205124","Yogur estilo griego natural","Hacendado","dairies","2017"
"8901764032912","Sprite","Coca-Cola, sprite","beverages and beverages preparations","2020"
