"region","year","product_count","avg_kcal_100g","avg_sugars_100g","avg_salt_100g","avg_fat_100g","avg_proteins_100g","ultra_processed_percentage"
"Africa","2012","38","322.02","24.35","0.64","19.12","7.09","63.16"
"Africa","2013","69","350.08","18.76","0.4","20.91","7.24","74.63"
"Africa","2014","34","313.45","17.53","0.54","19.82","8","56.25"
"Africa","2015","44","354.91","17.16","0.57","20.97","6.89","63.41"
"Africa","2016","52","393.18","18.92","0.61","19.42","6.72","76.6"
"Africa","2017","67","336.54","17.42","0.46","19.27","6.46","56.67"
"Africa","2018","232","272.85","17.16","1.3","16.57","7","66.49"
"Africa","2019","129","317.87","17.89","18.17","18.07","8.23","62.96"
"Africa","2020","113","373.66","18.37","1.18","22.12","8.31","75"
"Africa","2021","220","294.45","14.72","154.22","17.7","8.53","66.67"
"Africa","2022","216","298.28","17.62","20.04","17.61","7.59","68.35"
"Africa","2023","137","288.34","16.32","1.14","14","8.23","75.34"
"Africa","2024","361","457.7","14.49","14.33","15.98","9.73","72.57"
"Africa","2025","245","300.73","16.27","119.25","16.32","7.71","82.54"
"Africa","2026","28","351.98","21.76","26.67","13.37","12.56","88.89"
"Asia","2012","19","319.32","16.59","0.66","18.94","7.81","44.44"
"Asia","2013","24","272.15","15.02","0.62","14.4","6.34","70"
"Asia","2014","29","288.13","21.54","2.73","15.76","9.3","66.67"
"Asia","2015","89","301.68","20.41","1.79","15.49","8.97","61.29"
"Asia","2016","106","220.67","15.86","2.29","12.49","5.74","57.53"
"Asia","2017","183","292.18","16.94","2.69","19.27","9.09","58.94"
"Asia","2018","324","315.37","15.44","4.98","17.67","8.53","68.62"
"Asia","2019","540","287.9","16.11","1.28","17.25","7.79","76.92"
"Asia","2020","249","762.44","15.32","18.72","17.93","8.2","72.73"
"Asia","2021","497","281.92","14.82","6.82","14.55","9.2","71.28"
"Asia","2022","606","285.29","14.4","1145.86","15.74","9.65","80.2"
"Asia","2023","457","288.87","15.53","11.6","16.84","9.01","74.86"
"Asia","2024","698","291.08","14.81","19.05","16.3","9.26","80.43"
"Asia","2025","769","293.84","14.92","33.59","15.08","9.08","72.35"
"Asia","2026","48","253.56","14.89","1.11","10.95","16.99","76.92"
"Europe","2012","683","316.82","15.87","2.13","19.37","8.66","51.42"
"Europe","2013","917","344.69","18.41","1.34","17.13","8.22","58.04"
"Europe","2014","830","319.42","16.56","1.26","16.75","7.69","55.4"
"Europe","2015","1331","340.41","15.35","1.15","15.98","7.52","58.6"
"Europe","2016","1177","329.95","16.26","1.43","17.91","7.53","58.24"
"Europe","2017","1595","337.97","16.74","1","17.98","7.93","63.21"
"Europe","2018","1798","331.89","14.8","1.22","15.4","8.39","64.07"
"Europe","2019","1496","348.13","11.25","0.99","18.57","8.16","59.84"
"Europe","2020","1253","322.28","13.31","1.02","17.05","9.1","62.06"
"Europe","2021","1539","310.17","11.77","0.92","16.2","9.22","64.72"
"Europe","2022","1200","289.37","10.48","1.26","16.8","9.06","64.52"
"Europe","2023","1194","301.19","12.14","0.77","16.09","9.01","66.33"
"Europe","2024","1655","315.15","13.9","1.67","16.81","10.56","66.61"
"Europe","2025","702","312.27","14.53","0.93","17.08","9.49","70.4"
"Europe","2026","10","329.22","16.42","0.28","30.69","6.33","100"
"North America","2012","30","279.92","19.53","1.36","17.26","5.94","55.17"
"North America","2013","47","360.48","18.65","1.77","17.39","9.4","58.7"
"North America","2014","46","329.49","20.24","2.35","19.78","7.89","58.54"
"North America","2015","183","461.57","17.02","1.19","17.16","8.24","58.66"
"North America","2016","132","305.73","13.12","1.12","19.08","8.61","55.74"
"North America","2017","403","335.47","14.95","1.29","17.79","9.44","57.26"
"North America","2018","565","289.81","19.2","1.93","17.23","9.27","65.9"
"North America","2019","266","312.85","13.8","1.63","17.04","10","64.83"
"North America","2020","223","347.63","15.29","4.79","20.86","11.66","61.11"
"North America","2021","160","327.24","11.19","0.92","19.97","11.85","58.45"
"North America","2022","123","335.86","12.96","2.1","20.55","10.47","59.14"
"North America","2023","107","290.94","12.91","0.85","14.56","9.69","75.64"
"North America","2024","156","308.4","14.29","9.82","14.47","11.95","68.48"
"North America","2025","84","411.31","19.19","15.13","18.69","11.5","65.96"
"Oceania","2012","17","420.41","19.83","0.45","22.11","8.76","43.75"
"Oceania","2013","20","431.5","17.67","0.92","24.3","8.34","57.89"
"Oceania","2014","36","214.02","15.93","2.18","12.14","5.41","64.71"
"Oceania","2015","149","284.07","16.32","2.66","15.86","6.67","61.54"
"Oceania","2016","107","303.72","17.75","4.06","19.24","7.73","54.46"
"Oceania","2017","199","292.6","15.49","1.49","16.39","8.57","58.15"
"Oceania","2018","310","331.98","18.69","2.41","18.38","8.02","68.98"
"Oceania","2019","210","293.48","13.48","2.91","17.69","8.08","64"
"Oceania","2020","253","5203.31","10.17","0.96","15.8","7.22","65.35"
"Oceania","2021","188","313.45","11.06","1.74","21.5","9.19","63.23"
"Oceania","2022","121","289.53","16.2","1.05","11.8","14.05","65.22"
"Oceania","2023","90","379.99","14.25","14.09","19.1","11.8","75.68"
"Oceania","2024","97","509.23","17.07","15.92","30.77","19.74","60"
"Oceania","2025","29","381.4","13.14","31.62","20.94","9.63","70.59"
"Oceania","2026","1","348.95","51.5","0.02","","8",""
"South America","2012","4","264.35","7.95","0.13","1.8","11.03","33.33"
"South America","2013","24","634.86","22.32","0.58","21.68","7.57","80.95"
"South America","2014","20","316.79","16.67","1.58","18.19","7.65","73.33"
"South America","2015","19","371.14","29.09","0.54","22.32","6.74","83.33"
"South America","2016","36","310.4","20.44","8.32","25.04","7.98","57.58"
"South America","2017","40","313.2","23.29","0.73","14.62","6.97","67.74"
"South America","2018","160","313.32","20.79","5.95","17.52","9.29","61.54"
"South America","2019","253","285.37","16.68","0.92","15.05","8.83","70.41"
"South America","2020","296","298.92","16.22","1.82","17.39","8.76","74.4"
"South America","2021","342","262.47","15.23","436.96","12.61","7.87","76.5"
"South America","2022","338","299.79","13.77","37.87","19.06","8.49","62.42"
"South America","2023","421","277.13","15.47","13.35","20.27","8.67","74.42"
"South America","2024","567","301.08","12.88","14.72","16.43","10.65","69.16"
"South America","2025","328","293.23","14","24.87","15.73","9.44","72.78"
"South America","2026","8","190.91","8.06","12.13","15.99","12.05","100"
